@relation anomalous-traffic

@attribute ts numeric
@attribute pkts numeric
@attribute ed numeric
@attribute cd numeric
@attribute lle numeric
@attribute sampen numeric
@attribute rec numeric
@attribute det numeric
@attribute ent numeric
@attribute trend numeric
@attribute lam numeric
@attribute class {normal, anomaly}

@data

1484089659.66,1020,14.0,1.24036456956,0.0,0.14242371858,0.000993048659384,1.0,-0.0,0.0,0.0,normal
1484089704.66,1139,14.0,1.08709114224,-0.000430270437064,0.115811772469,0.00088809946714,1.0,-0.0,0.0,0.0,normal
1484089749.66,1111,14.0,0.945538742531,0.00023954083033,0.0904183248763,0.000910746812386,1.0,-0.0,0.0,0.0,normal
1484089794.66,1139,11.0,0.969388612834,-0.000252875124257,0.11454353663,0.00088573959256,1.0,-0.0,0.0,0.0,normal
1484089839.66,1188,11.0,1.05579311251,0.000331873349,0.113219203092,0.000848896434635,1.0,-0.0,0.0,0.0,normal
1484089884.66,1155,15.0,1.20557246983,-0.00080602596544,0.101320349945,0.000876424189308,1.0,-0.0,0.0,0.0,normal
1484089929.66,1165,11.0,0.937591221289,0.000708581430112,0.10808927433,0.000868799310358,0.996548748921,-0.0,-3.33199095108e-09,0.0,normal
1484089974.66,1091,11.0,0.959703594695,-3.84797824176e-05,0.125431669442,0.000928492393636,0.996313364055,-0.0,-3.45000622431e-09,0.0,normal
1484090379.66,1004,14.0,0.999823982369,0.0,0.0467391512841,0.00100908173562,1.0,-0.0,0.0,0.0,normal
1484090424.66,1036,15.0,0.959251543229,-6.17032687056e-05,0.0419364189879,0.000978473581213,1.0,-0.0,0.0,0.0,normal
1484090469.66,1035,15.0,1.48975000071,-0.000179192940039,0.0776552233097,0.000979431929481,1.0,-0.0,0.0,0.0,normal
1484090514.66,1007,20.0,1.26297799187,0.0,0.0496881700548,0.00101214574899,1.0,-0.0,0.0,0.0,normal
1484093529.66,1035,13.0,1.32010963351,-0.000180143319467,0.142733996556,0.000977517106549,1.0,-0.0,0.0,0.0,normal
1484093574.66,1034,13.0,1.17675523204,0.00052649756667,0.123686796796,0.000978473581213,1.0,-0.0,0.0,0.0,normal
1484100774.66,1015,16.0,1.48089973539,0.0,0.120918563586,0.001,1.0,-0.0,0.0,0.0,normal
1484100819.66,1185,11.0,1.6870814311,0.00151667522452,0.212047792305,0.000851063829787,1.0,-0.0,0.0,0.0,normal
1484100864.66,1111,20.0,1.98498369354,0.000984465434244,0.100022946486,0.000915750915751,1.0,-0.0,0.0,0.0,normal
1484108784.66,1259,12.0,1.73261308577,0.000539059369116,0.140774409353,0.000801282051282,1.0,-0.0,0.0,0.0,normal
1484108829.66,1321,17.0,1.79730075584,-0.000799989961105,0.0878733233774,0.000766283524904,1.0,-0.0,0.0,0.0,normal
1484108874.66,1378,14.0,1.73487532541,-0.00149730621185,0.123002331783,0.000732600732601,1.0,-0.0,0.0,0.0,normal
1484108919.66,1396,23.0,2.10497420588,-0.000530955437843,0.0665544246385,0.000727802037846,1.0,-0.0,0.0,0.0,normal
1484108964.66,1272,16.0,1.59674838543,0.00117146741417,0.0958927700595,0.00079554494829,1.0,-0.0,0.0,0.0,normal
1484109009.66,1266,15.0,1.76139126969,0.000929823984856,0.11854015311,0.000798722044728,1.0,-0.0,0.0,0.0,normal
1484109054.66,1108,18.0,1.72026813934,-0.00121300364967,0.09763455462,0.000916590284143,1.0,-0.0,0.0,0.0,normal
1484109369.66,1099,17.0,1.75848219511,-0.00193052285188,0.124480052126,0.000923361034164,1.0,-0.0,0.0,0.0,normal
1484109414.66,1310,17.0,1.65959474604,-0.000636579717141,0.116454396025,0.000772797527048,1.0,-0.0,0.0,0.0,normal
1484109459.66,1378,22.0,2.10285017411,-0.00113800056622,0.13202244568,0.000736919675755,1.0,-0.0,0.0,0.0,normal
1484109504.66,1453,22.0,1.92109522866,-0.000537424483713,0.110244052397,0.000698324022346,1.0,-0.0,0.0,0.0,normal
1484109549.66,1458,22.0,1.84179012928,-0.000157895494136,0.101426327378,0.000695894224078,1.0,-0.0,0.0,0.0,normal
1484109594.66,1479,14.0,1.35289950267,-7.24485676979e-07,0.112140398258,0.000682128240109,1.0,-0.0,0.0,0.0,normal
1484109639.66,1467,16.0,1.30564348712,-0.00016611271539,0.0876071702986,0.00068870523416,1.0,-0.0,0.0,0.0,normal
1484109684.66,1482,16.0,1.25881731445,-4.95269638511e-05,0.0874640750947,0.00068166325835,1.0,-0.0,0.0,0.0,normal
1484109729.66,1540,16.0,1.33801393384,-0.000494271593748,0.082227629688,0.000655737704918,1.0,-0.0,0.0,0.0,normal
1484109774.66,1428,15.0,1.12750771059,-0.00152359985994,0.0808399684985,0.000707213578501,1.0,-0.0,0.0,0.0,normal
1484109819.66,1367,17.0,1.22943404863,0.0012788394973,0.0733755504869,0.000740192450037,1.0,-0.0,0.0,0.0,normal
1484109864.66,1331,15.0,1.09454880337,0.00162268210925,0.0779124212331,0.000759301442673,1.0,-0.0,0.0,0.0,normal
1484109909.66,1240,17.0,1.28839200588,-0.000809373078807,0.0887626086816,0.000816993464052,1.0,-0.0,0.0,0.0,normal
1484109954.66,1286,17.0,1.42987522424,0.00107129352945,0.102543458401,0.000787401574803,1.0,-0.0,0.0,0.0,normal
1484109999.66,1346,17.0,1.4565276943,0.000980170397611,0.102045865491,0.000751879699248,1.0,-0.0,0.0,0.0,normal
1484110044.66,1379,16.0,1.49304680186,-0.0013425940837,0.0987021119223,0.000733137829912,1.0,-0.0,0.0,0.0,normal
1484110089.66,1401,21.0,1.51188127306,-0.00147130787415,0.0851996573868,0.000724112961622,1.0,-0.0,0.0,0.0,normal
1484110134.66,1367,21.0,1.49774244946,0.000221572720499,0.0778690854677,0.000742390497402,1.0,-0.0,0.0,0.0,normal
1484110179.66,1387,13.0,1.25090864912,0.00191615953421,0.0954206476576,0.000727272727273,1.0,-0.0,0.0,0.0,normal
1484110224.66,1372,11.0,1.3001130543,-0.000739500302658,0.130032452254,0.000735292532145,0.99853372434,-0.0,-3.47241160252e-10,0.0,normal
1484110269.66,1422,23.0,1.83731060771,-0.00082098249668,0.0562191330484,0.000714285714286,1.0,-0.0,0.0,0.0,normal
1484110314.66,1529,19.0,1.61853687915,-0.000395064794491,0.068527121065,0.00066181336863,1.0,-0.0,0.0,0.0,normal
1484110359.66,1568,15.0,1.42540708143,-0.000742682875719,0.0726089205316,0.000643500643501,1.0,-0.0,0.0,0.0,normal
1484110404.66,1498,19.0,1.37130206574,-0.000599827635882,0.0563223344269,0.000675675675676,1.0,-0.0,0.0,0.0,normal
1484110449.66,1445,19.0,1.25320987426,0.00125330214706,0.0569159518774,0.000700770847933,1.0,-0.0,0.0,0.0,normal
1484110494.66,1408,15.0,1.30380451423,0.00172260888653,0.0816448401169,0.000717360114778,1.0,-0.0,0.0,0.0,normal
1484110539.66,1272,18.0,1.41927720522,-0.000924799302915,0.0658178331171,0.000796812749004,1.0,-0.0,0.0,0.0,normal
1484110584.66,1211,15.0,1.32195667423,0.00185682027955,0.0794307989977,0.000835421888053,1.0,-0.0,0.0,0.0,normal
1484110629.66,1125,18.0,1.67881535165,0.0019395727631,0.0701238999985,0.000902527075812,1.0,-0.0,0.0,0.0,normal
1484110764.66,1081,17.0,1.52084605025,-0.00260998466391,0.0855697509701,0.00093896713615,1.0,-0.0,0.0,0.0,normal
1484111169.66,1072,21.0,1.28690474091,-0.00423037828864,0.0523014489886,0.000950570342205,1.0,-0.0,0.0,0.0,normal
1484111214.66,1303,21.0,1.26985456821,-0.00209935816948,0.0622206492215,0.000779423226812,1.0,-0.0,0.0,0.0,normal
1484111259.66,1540,15.0,1.22028794819,-0.000429023401379,0.0868888556483,0.000655307994758,1.0,-0.0,0.0,0.0,normal
1484111304.66,1615,12.0,1.32174683671,-0.00107395818131,0.0913981098898,0.000623441396509,1.0,-0.0,0.0,0.0,normal
1484111349.66,1594,14.0,1.36201186724,-0.000822376531936,0.0813511353996,0.000632511068944,1.0,-0.0,0.0,0.0,normal
1484111394.66,1601,15.0,1.36446250006,0.00106970729239,0.0762168831234,0.000630119722747,1.0,-0.0,0.0,0.0,normal
1484111439.66,1591,13.0,1.26526304514,0.000763047622263,0.0831116267732,0.000633312222926,1.0,-0.0,0.0,0.0,normal
1484111484.66,1562,16.0,1.41945919114,-0.000950543747146,0.0693311012509,0.000646412411118,1.0,-0.0,0.0,0.0,normal
1484111529.66,1598,17.0,1.48571817063,0.000151741255572,0.0768986811,0.00063211125158,1.0,-0.0,0.0,0.0,normal
1484111574.66,1591,16.0,1.34539469964,-3.94519812732e-05,0.0679292046583,0.000634517766497,1.0,-0.0,0.0,0.0,normal
1484111619.66,1543,19.0,1.52263113782,0.000426640388408,0.0727785349639,0.000655737704918,1.0,-0.0,0.0,0.0,normal
1484111664.66,1492,12.0,1.28428019777,0.00176518947072,0.101007658319,0.00067521944632,1.0,-0.0,0.0,0.0,normal
1484111709.66,1481,13.0,1.23710738592,0.0004913758817,0.0926942457485,0.00068073519401,1.0,-0.0,0.0,0.0,normal
1484111754.66,1489,21.0,1.37238339869,-0.000871719302792,0.0581356372206,0.00068073519401,1.0,-0.0,0.0,0.0,normal
1484111799.66,1519,20.0,1.34693514491,-0.00126399635312,0.070851629945,0.000666666666667,1.0,-0.0,0.0,0.0,normal
1484111844.66,1563,19.0,1.3794563784,-2.31637501726e-06,0.0758241196185,0.000647249190939,1.0,-0.0,0.0,0.0,normal
1484111889.66,1520,17.0,1.22811758277,0.000732549210033,0.0680853631791,0.000664893617021,1.0,-0.0,0.0,0.0,normal
1484111934.66,1494,21.0,1.34083568018,-0.000211084770442,0.0709836820376,0.00067842605156,1.0,-0.0,0.0,0.0,normal
1484111979.66,1411,21.0,1.43671300032,0.00127321722376,0.0740428839524,0.000718907260963,1.0,-0.0,0.0,0.0,normal
1484112024.66,1403,21.0,1.49907436046,0.00147707021216,0.0698875123124,0.000723065798988,1.0,-0.0,0.0,0.0,normal
1484112069.66,1420,18.0,1.44812998757,-0.000525242227459,0.0682244005275,0.000712758374911,1.0,-0.0,0.0,0.0,normal
1484112114.66,1448,17.0,1.43195422375,-0.00109810304461,0.0846426239269,0.000698324022346,1.0,-0.0,0.0,0.0,normal
1484112159.66,1519,17.0,1.59277372016,-0.000727516312864,0.0853622858354,0.000665335994677,1.0,-0.0,0.0,0.0,normal
1484112204.66,1381,18.0,1.28733058322,-5.39335242188e-05,0.0803904379632,0.000733137829912,1.0,-0.0,0.0,0.0,normal
1484112249.66,1408,17.0,1.23706758667,0.00208824708578,0.0728706721474,0.000718390804598,1.0,-0.0,0.0,0.0,normal
1484112294.66,1377,16.0,1.19467022066,-0.000940902703507,0.0834173454428,0.000734214390602,1.0,-0.0,0.0,0.0,normal
1484112339.66,1285,20.0,1.46372007876,1.75834959339e-06,0.0975497166357,0.000789889415482,1.0,-0.0,0.0,0.0,normal
1484112384.66,1379,19.0,1.49691394429,0.0025217206627,0.0925930555885,0.000734753857458,1.0,-0.0,0.0,0.0,normal
1484112429.66,1349,13.0,1.28772854464,-0.00027028390769,0.110093147054,0.00074794315632,1.0,-0.0,0.0,0.0,normal
1484112474.66,1390,12.0,1.32525765235,-0.00174065534767,0.113304475242,0.000725163161711,1.0,-0.0,0.0,0.0,normal
1484112519.66,1446,17.0,1.19598669576,-0.000834973725318,0.0782079918561,0.000699300699301,1.0,-0.0,0.0,0.0,normal
1484112564.66,1379,13.0,1.07791894896,0.000378511652693,0.0863719333001,0.000731528895391,1.0,-0.0,0.0,0.0,normal
1484112609.66,1392,13.0,1.08636847698,0.00155329995318,0.0912763517443,0.000724637681159,1.0,-0.0,0.0,0.0,normal
