@relation anomalous-traffic

@attribute ts numeric
@attribute pkts numeric
@attribute ed numeric
@attribute cd numeric
@attribute lle numeric
@attribute sampen numeric
@attribute rec numeric
@attribute det numeric
@attribute ent numeric
@attribute trend numeric
@attribute lam numeric
@attribute class {normal, anomaly}

@data

1483706070.51,1374,10.0,0.0838708178881,-0.00184361456135,0.01006520885,0.639257738598,0.997429226056,3.72976372164,4.42534679242e-05,0.998429158051,anomaly
1483706115.51,1778,11.0,0.0701735421619,-0.00234822540795,0.00813586246595,0.676624787576,0.999583926317,4.0578802534,-4.47774805794e-05,0.999586763183,anomaly
1483706160.51,1779,11.0,0.0774354103011,-0.000855871772009,0.00904001127018,0.679028402284,0.999572690801,4.11471974882,-0.000220839025939,0.998735014177,anomaly
1483706205.51,1776,12.0,0.106455326934,0.00173760542206,0.0113705073615,0.588838687414,0.999183368632,3.80989297143,-7.75932507004e-05,0.998514472311,anomaly
1483706250.51,1778,17.0,0.121310842348,0.00169929067285,0.0104278861482,0.530052398922,0.999389897085,3.83163566255,0.000296135188321,0.998213443654,anomaly
1483706295.51,1769,14.0,0.106542827225,-0.00304599184367,0.010816477902,0.562277203834,0.999370170296,3.68551280159,-4.59511023718e-05,0.998347562178,anomaly
1483706340.51,1777,15.0,0.0760655589307,-0.000929172450524,0.0060650786503,0.648934147403,0.999677738737,3.83993115904,-0.000207502951165,0.999706494358,anomaly
1483706385.51,1734,18.0,0.0692150625656,0.00267775044775,0.00517669433136,0.65550225926,0.999874772248,4.35977186874,3.06673054193e-06,0.999805431262,anomaly
1483706430.51,1513,18.0,0.0793264416667,0.0028250173566,0.00614346674766,0.597320126398,0.999850390332,4.34833493669,-2.4173806708e-05,0.999646921183,anomaly
1483706475.51,1074,7.0,0.0613374101083,0.00167881451591,0.00665265596112,0.700935628218,0.999827392984,4.14159819709,5.43054957931e-05,0.999667293722,anomaly
1483707240.51,1174,15.0,0.713586674013,-0.00259483810972,0.0337206520888,0.00123959571938,0.964028776978,2.13662212801,-4.08475444259e-07,0.0,normal
1483707285.51,1424,17.0,0.726476474355,-0.000104622573796,0.0293080580291,0.000969500581095,0.978147762747,2.03657478317,-1.09757985272e-07,0.0,normal
1483707330.51,1517,10.0,0.619591441109,-9.384764468e-05,0.0286514007917,0.00423031189975,0.935758835759,2.11968022708,3.30594373008e-07,0.0,normal
